,retailer,product_id,time_month,week,store_cost_sum,unit_sales_sum,cost_price,mean_sell_price,sd_sell_price,difference,weekly_demand
0,1,1,1,1,2.464,4,1.4,2.9768976567317558,1.4993742480711372,1.064,35
1,1,1,1,1,3.7296,3,2.59,2.9768976567317558,1.4993742480711372,1.1396000000000002,35
2,1,1,1,1,4.9432,4,3.34,2.9768976567317558,1.4993742480711372,1.6032000000000002,35
3,1,1,1,1,0.6105,3,0.55,2.9768976567317558,1.4993742480711372,0.0605,35
4,1,1,1,1,1.3248,3,0.96,2.9768976567317558,1.4993742480711372,0.3648,35
5,1,1,1,1,3.404,4,1.85,2.9768976567317558,1.4993742480711372,1.5539999999999998,35
6,1,1,1,1,0.9504,3,0.66,2.9768976567317558,1.4993742480711372,0.2904,35
7,1,1,1,1,2.31,3,1.54,2.9768976567317558,1.4993742480711372,0.77,35
8,1,1,1,1,7.4112,4,3.86,2.9768976567317558,1.4993742480711372,3.5512,35
9,1,1,1,1,3.876,4,2.55,2.9768976567317558,1.4993742480711372,1.326,35
10,1,1,1,2,2.4921,3,2.13,2.9768976567317558,1.4993742480711372,0.3621000000000003,29
11,1,1,1,2,3.6846,3,2.67,2.9768976567317558,1.4993742480711372,1.0146000000000002,29
12,1,1,1,2,2.2230000000000003,3,1.95,2.9768976567317558,1.4993742480711372,0.27300000000000035,29
13,1,1,1,2,5.5352,4,3.74,2.9768976567317558,1.4993742480711372,1.7951999999999995,29
14,1,1,1,2,1.3824,3,0.96,2.9768976567317558,1.4993742480711372,0.4224000000000001,29
15,1,1,1,2,3.876,3,3.8,2.9768976567317558,1.4993742480711372,0.07600000000000007,29
16,1,1,1,2,2.7072,4,1.44,2.9768976567317558,1.4993742480711372,1.2671999999999999,29
17,1,1,1,2,4.9984,4,2.84,2.9768976567317558,1.4993742480711372,2.1584000000000003,29
18,1,1,1,2,3.69,2,3.69,2.9768976567317558,1.4993742480711372,0.0,29
19,1,1,1,3,3.6408,4,2.46,2.9768976567317558,1.4993742480711372,1.1808,32
20,1,1,1,3,3.6984,3,2.68,2.9768976567317558,1.4993742480711372,1.0183999999999997,32
21,1,1,1,3,7.6416,4,3.98,2.9768976567317558,1.4993742480711372,3.6616000000000004,32
22,1,1,1,3,3.84,4,1.92,2.9768976567317558,1.4993742480711372,1.92,32
23,1,1,1,3,3.5328,4,1.84,2.9768976567317558,1.4993742480711372,1.6927999999999999,32
24,1,1,1,3,3.168,4,1.8,2.9768976567317558,1.4993742480711372,1.368,32
25,1,1,1,3,4.2588,3,3.38,2.9768976567317558,1.4993742480711372,0.8788,32
26,1,1,1,3,0.7134,3,0.58,2.9768976567317558,1.4993742480711372,0.13340000000000007,32
27,1,1,1,3,2.2968,3,1.74,2.9768976567317558,1.4993742480711372,0.5568000000000002,32
28,1,1,1,4,3.4902,3,2.77,2.9768976567317558,1.4993742480711372,0.7202000000000002,29
29,1,1,1,4,2.376,4,1.32,2.9768976567317558,1.4993742480711372,1.0559999999999998,29
30,1,1,1,4,2.7,3,2.25,2.9768976567317558,1.4993742480711372,0.4500000000000002,29
31,1,1,1,4,1.8684,3,1.73,2.9768976567317558,1.4993742480711372,0.13840000000000008,29
32,1,1,1,4,1.8576,3,1.72,2.9768976567317558,1.4993742480711372,0.13759999999999994,29
33,1,1,1,4,0.912,3,0.8,2.9768976567317558,1.4993742480711372,0.11199999999999999,29
34,1,1,1,4,1.1868,3,0.86,2.9768976567317558,1.4993742480711372,0.3268000000000001,29
35,1,1,1,4,0.696,3,0.58,2.9768976567317558,1.4993742480711372,0.11599999999999999,29
36,1,1,1,4,5.1888,4,2.76,2.9768976567317558,1.4993742480711372,2.4288,29
37,1,1,2,1,3.9888,4,2.77,2.9768976567317558,1.4993742480711372,1.2187999999999999,37
38,1,1,2,1,1.9404,3,1.32,2.9768976567317558,1.4993742480711372,0.6203999999999998,37
39,1,1,2,1,3.762,3,2.85,2.9768976567317558,1.4993742480711372,0.9119999999999999,37
40,1,1,2,1,0.5508,3,0.54,2.9768976567317558,1.4993742480711372,0.01079999999999992,37
41,1,1,2,1,3.9405,5,2.13,2.9768976567317558,1.4993742480711372,1.8105000000000002,37
42,1,1,2,1,3.7544,4,2.47,2.9768976567317558,1.4993742480711372,1.2843999999999998,37
43,1,1,2,1,1.029,3,0.7,2.9768976567317558,1.4993742480711372,0.32899999999999996,37
44,1,1,2,1,0.976,4,0.61,2.9768976567317558,1.4993742480711372,0.366,37
45,1,1,2,1,4.256,5,2.66,2.9768976567317558,1.4993742480711372,1.596,37
46,1,1,2,1,4.7478,3,3.86,2.9768976567317558,1.4993742480711372,0.8877999999999999,37
47,1,1,2,2,5.055,5,3.37,2.9768976567317558,1.4993742480711372,1.6849999999999996,35
48,1,1,2,2,7.0656,4,3.68,2.9768976567317558,1.4993742480711372,3.3855999999999997,35
49,1,1,2,2,1.9388,4,1.31,2.9768976567317558,1.4993742480711372,0.6288,35
50,1,1,2,2,1.3284,3,1.23,2.9768976567317558,1.4993742480711372,0.09840000000000004,35
51,1,1,2,2,5.1612,3,3.74,2.9768976567317558,1.4993742480711372,1.4211999999999998,35
52,1,1,2,2,1.7316,4,1.11,2.9768976567317558,1.4993742480711372,0.6215999999999999,35
53,1,1,2,2,0.882,3,0.7,2.9768976567317558,1.4993742480711372,0.18200000000000005,35
54,1,1,2,2,5.184,3,3.84,2.9768976567317558,1.4993742480711372,1.3440000000000003,35
55,1,1,2,2,1.6215,3,1.15,2.9768976567317558,1.4993742480711372,0.47150000000000003,35
56,1,1,2,2,3.1644,3,2.93,2.9768976567317558,1.4993742480711372,0.23439999999999994,35
57,1,1,2,3,2.2155,3,2.11,2.9768976567317558,1.4993742480711372,0.10550000000000015,34
58,1,1,2,3,4.452,4,2.65,2.9768976567317558,1.4993742480711372,1.802,34
59,1,1,2,3,2.4072,3,2.36,2.9768976567317558,1.4993742480711372,0.04720000000000013,34
60,1,1,2,3,1.7712,3,1.23,2.9768976567317558,1.4993742480711372,0.5412000000000001,34
61,1,1,2,3,6.5824,4,3.74,2.9768976567317558,1.4993742480711372,2.8423999999999996,34
62,1,1,2,3,1.2321,3,1.11,2.9768976567317558,1.4993742480711372,0.12209999999999988,34
63,1,1,2,3,1.7664,4,0.96,2.9768976567317558,1.4993742480711372,0.8064,34
64,1,1,2,3,3.9762,3,2.82,2.9768976567317558,1.4993742480711372,1.1562000000000001,34
65,1,1,2,3,4.0446,3,3.21,2.9768976567317558,1.4993742480711372,0.8346,34
66,1,1,2,3,4.9536,4,3.44,2.9768976567317558,1.4993742480711372,1.5135999999999998,34
67,1,1,2,4,7.0379999999999985,4,3.91,2.9768976567317558,1.4993742480711372,3.1279999999999983,36
68,1,1,2,4,4.9432,4,3.34,2.9768976567317558,1.4993742480711372,1.6032000000000002,36
69,1,1,2,4,3.472,4,2.8,2.9768976567317558,1.4993742480711372,0.6720000000000002,36
70,1,1,2,4,1.9803,3,1.61,2.9768976567317558,1.4993742480711372,0.37029999999999985,36
71,1,1,2,4,3.0672,4,2.13,2.9768976567317558,1.4993742480711372,0.9372000000000003,36
72,1,1,2,4,2.4192,3,1.92,2.9768976567317558,1.4993742480711372,0.4992000000000001,36
73,1,1,2,4,3.1707,3,2.71,2.9768976567317558,1.4993742480711372,0.4607000000000001,36
74,1,1,2,4,2.8080000000000003,4,1.8,2.9768976567317558,1.4993742480711372,1.0080000000000002,36
75,1,1,2,4,2.3408,4,1.54,2.9768976567317558,1.4993742480711372,0.8008000000000002,36
76,1,1,2,4,2.3562,3,2.31,2.9768976567317558,1.4993742480711372,0.0461999999999998,36
77,1,1,3,1,2.3415,3,2.23,2.9768976567317558,1.4993742480711372,0.11149999999999993,42
78,1,1,3,1,2.9505,3,2.81,2.9768976567317558,1.4993742480711372,0.14049999999999985,42
79,1,1,3,1,4.1356,4,2.11,2.9768976567317558,1.4993742480711372,2.0256000000000003,42
80,1,1,3,1,5.8506,3,3.98,2.9768976567317558,1.4993742480711372,1.8706,42
81,1,1,3,1,3.0597,3,2.17,2.9768976567317558,1.4993742480711372,0.8896999999999999,42
82,1,1,3,1,2.6565,5,1.61,2.9768976567317558,1.4993742480711372,1.0464999999999998,42
83,1,1,3,1,2.4624,3,1.71,2.9768976567317558,1.4993742480711372,0.7524000000000002,42
84,1,1,3,1,2.4393,3,1.73,2.9768976567317558,1.4993742480711372,0.7092999999999998,42
85,1,1,3,1,3.1302,3,2.82,2.9768976567317558,1.4993742480711372,0.31020000000000003,42
86,1,1,3,1,0.51,2,0.51,2.9768976567317558,1.4993742480711372,0.0,42
87,1,1,3,1,2.7552,3,2.24,2.9768976567317558,1.4993742480711372,0.5151999999999997,42
88,1,1,3,1,2.9892,3,2.12,2.9768976567317558,1.4993742480711372,0.8691999999999998,42
89,1,1,3,1,1.0064,4,0.68,2.9768976567317558,1.4993742480711372,0.3263999999999999,42
90,1,1,3,2,1.4280000000000002,3,1.4,2.9768976567317558,1.4993742480711372,0.028000000000000247,49
91,1,1,3,2,1.9436,4,1.13,2.9768976567317558,1.4993742480711372,0.8136000000000001,49
92,1,1,3,2,2.4309,3,2.19,2.9768976567317558,1.4993742480711372,0.2408999999999999,49
93,1,1,3,2,2.499,3,2.38,2.9768976567317558,1.4993742480711372,0.11900000000000022,49
94,1,1,3,2,3.1872,4,1.66,2.9768976567317558,1.4993742480711372,1.5272,49
95,1,1,3,2,4.1895,3,2.85,2.9768976567317558,1.4993742480711372,1.3394999999999997,49
96,1,1,3,2,5.984,4,3.74,2.9768976567317558,1.4993742480711372,2.2439999999999998,49
97,1,1,3,2,1.4985,3,1.11,2.9768976567317558,1.4993742480711372,0.38849999999999985,49
98,1,1,3,2,3.4688,4,2.71,2.9768976567317558,1.4993742480711372,0.7587999999999999,49
99,1,1,3,2,1.0736,4,0.61,2.9768976567317558,1.4993742480711372,0.4636000000000001,49
