,sd_sell_price,product_id,time_month,week,store_cost_sum,unit_sales_sum,cost_price,mean_sell_price,retailer,difference,weekly_demand
0,1.4179809613354613,1,1,1,3.1374,3,2.49,2.8388931822699317,1,0.6473999999999998,26
1,1.4179809613354613,1,1,1,1.9071,3,1.63,2.8388931822699317,1,0.2771000000000001,26
2,1.4179809613354613,1,1,1,1.776,3,1.48,2.8388931822699317,1,0.29600000000000004,26
3,1.4179809613354613,1,1,1,1.0656,3,0.74,2.8388931822699317,1,0.3256000000000001,26
4,1.4179809613354613,1,1,1,2.0336,4,1.24,2.8388931822699317,1,0.7935999999999999,26
5,1.4179809613354613,1,1,1,0.6669,3,0.57,2.8388931822699317,1,0.0969000000000001,26
6,1.4179809613354613,1,1,1,3.9072,3,3.52,2.8388931822699317,1,0.3872,26
7,1.4179809613354613,1,1,1,4.8552,4,2.89,2.8388931822699317,1,1.9651999999999998,26
8,1.4179809613354613,1,1,2,2.5515,3,2.43,2.8388931822699317,1,0.12149999999999972,26
9,1.4179809613354613,1,1,2,4.4526,3,3.62,2.8388931822699317,1,0.8326000000000002,26
10,1.4179809613354613,1,1,2,3.3696,3,2.34,2.8388931822699317,1,1.0296000000000003,26
11,1.4179809613354613,1,1,2,2.4304,4,1.24,2.8388931822699317,1,1.1904000000000001,26
12,1.4179809613354613,1,1,2,3.0294,3,2.97,2.8388931822699317,1,0.059399999999999675,26
13,1.4179809613354613,1,1,2,2.064,4,1.29,2.8388931822699317,1,0.774,26
14,1.4179809613354613,1,1,2,5.4488,4,2.78,2.8388931822699317,1,2.6688000000000005,26
15,1.4179809613354613,1,1,2,2.81,2,2.81,2.8388931822699317,1,0.0,26
16,1.4179809613354613,1,1,3,0.8037,3,0.57,2.8388931822699317,1,0.23370000000000002,24
17,1.4179809613354613,1,1,3,3.892,4,2.78,2.8388931822699317,1,1.112,24
18,1.4179809613354613,1,1,3,1.68,4,1.4,2.8388931822699317,1,0.28,24
19,1.4179809613354613,1,1,3,5.12,4,2.56,2.8388931822699317,1,2.56,24
20,1.4179809613354613,1,1,3,2.5116,3,1.82,2.8388931822699317,1,0.6916,24
21,1.4179809613354613,1,1,3,1.5561,3,1.33,2.8388931822699317,1,0.22609999999999997,24
22,1.4179809613354613,1,1,3,1.6851,3,1.37,2.8388931822699317,1,0.31509999999999994,24
23,1.4179809613354613,1,1,4,0.8664,4,0.57,2.8388931822699317,1,0.2964,26
24,1.4179809613354613,1,1,4,2.1312,3,1.48,2.8388931822699317,1,0.6512000000000002,26
25,1.4179809613354613,1,1,4,3.8535,3,3.67,2.8388931822699317,1,0.1835,26
26,1.4179809613354613,1,1,4,1.4476,4,0.77,2.8388931822699317,1,0.6776,26
27,1.4179809613354613,1,1,4,2.688,4,1.68,2.8388931822699317,1,1.0080000000000002,26
28,1.4179809613354613,1,1,4,4.928,4,3.52,2.8388931822699317,1,1.408,26
29,1.4179809613354613,1,1,4,4.788,4,3.15,2.8388931822699317,1,1.6380000000000003,26
30,1.4179809613354613,1,2,1,2.58,3,2.15,2.8388931822699317,1,0.43000000000000016,33
31,1.4179809613354613,1,2,1,3.808,4,2.38,2.8388931822699317,1,1.428,33
32,1.4179809613354613,1,2,1,3.9345,5,1.83,2.8388931822699317,1,2.1045,33
33,1.4179809613354613,1,2,1,2.8188,3,2.61,2.8388931822699317,1,0.2088000000000001,33
34,1.4179809613354613,1,2,1,4.4992,4,2.96,2.8388931822699317,1,1.5392000000000001,33
